Name	inHouse_ID	ID
(+)-pantothenic acid		mdm-444
(+)-sodium l-ascorbate		mdm-109
(+)-valine		mdm-29
(+-)-2-ethyl-2-methylsuccinimide		mdm-809
(+-)-catechin		mdm-746
(+-)-chloroquine		mdm-757
(+-)-hydratropasaeure	cnic_15	
(+-)-hydratropic acid	cnic_15	
(+-)-tropate		mdm-133
(+-)-tropic acid		mdm-133
(+/-) 2-phenylpropionic acid	cnic_15	
(+/-)-2,6-diaminopimelic acid		mdm-405
(+/-)-2-ethyl-2-methylsuccinimide		mdm-809
(+/-)-2-phenylpropanoic acid	cnic_15	
(+/-)-2-phenylpropionic acid	cnic_15	
(+/-)-catechin hydrate, primary pharmaceutical reference standard		mdm-746
(+/-)-catechin hydrate, purum, >=96.0% (hplc)		mdm-746
(+/-)-hydratropic acid	cnic_15	
(+/-)-tropic acid		mdm-133
(+/-)2-phenylpropionic acid	cnic_15	
(-) quinic acid, analytical standard		mdm-457
(-)-.beta.-phenylalanine		mdm-449
(-)-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid		mdm-457
(-)-3-dehydro shikimic acid		mdm-232
(-)-3-dehydroshikimic acid		mdm-232
(-)-beta-phenylalanine		mdm-449
(-)-n-(trans-4-isopropylcyclohexanecarbonyl)-d-phenylalanine		mdm-949
(-)-phenylalanine		mdm-449
(-)-quinic acid		mdm-457
(-)-trans-3,3',4',5,7-pentahydroxyflavan		mdm-746
(-)-trans-3,3',4',5,7-pentahydroxyflavane		mdm-746
(-)quinic acid		mdm-457
(.+/-.)-chloroquine		mdm-757
(.+/-.)-ethosuximide		mdm-809
(1)-(hydroxymethyl)phenylacetic acid		mdm-133
(1)-alpha-hydroxy-1h-indole-3-propionic acid	cnic_29	
(1,3,5/2,4,6)-6-aminocyclohexane-1,2,3,4,5-pentol	cnic_122	
(11beta,16beta)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione		mdm-721
(11beta,16beta)-9-chloro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-diene-17,21-diyl dipropanoate		mdm-721
(1h-indol-3-yl)-acetate	cnic_27	
(1h-indol-3-yl)-acetic acid	cnic_27	
(1h-indol-3-yl)acetate	cnic_27	
(1h-indol-3-yl)acetic acid	cnic_27	
(1r,2s,3r,4r,5s,6s)-6-aminocyclohexane-1,2,3,4,5-pentol	cnic_122	
(1r,3r,4r,5r)-(-)-tetrahydroxycyclohexanecarboxylic acid		mdm-457
(1r,3s,4s,5s)-3-[(e)-3-(3,4-dihydroxy-phenyl)-acryloyloxy]-1,4,5-trihydroxy-cyclohexanecarboxylic acid		mdm-106
(1r,4r)-4-(aminomethyl)cyclohexane-1-carboxylic acid		mdm-473
(1r,4r)-4-(aminomethyl)cyclohexanecarboxylic acid		mdm-473
(1s,2r,4s,5r)-6-aminocyclohexane-1,2,3,4,5-pentol	cnic_122	
(1s,3r,4r,5r)-3-(((3-(3,4-dihydroxyphenyl)acryloyl)oxy)-1,4,5-trihydroxycyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-(((e)-3-(3,4-dihydroxyphenyl)acryloyl)oxy)-1,4,5-trihydroxycyclohexane-1-carboxylic acid		mdm-106
(1s,3r,4r,5r)-3-(((e)-3-(3,4-dihydroxyphenyl)acryloyl)oxy)-1,4,5-trihydroxycyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-((e)-3-(3,4-dihydroxyphenyl)acryloyloxy)-1,4,5-trihydroxycyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-[(e)-3-(3,4-dihydroxy-phenyl)-acryloyloxy]-1,4,5-trihydroxy-cyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-[(e)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxy-cyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-[(e)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid		mdm-106
(1s,3r,4r,5r)-3-[(e)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylicacid		mdm-106
(1s,3r,4r,5r)-3-[3-(3,4-dihydroxyphenyl)prop-2-enoyloxy]-1,4,5-trihydroxycyclohexanecarboxylic acid		mdm-106
(1s,3r,4r,5r)-3-{[(2e)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexane-1-carboxylic acid		mdm-106
(1s,3r,4r,5r,e)-3-(3-(3,4-dihydroxyphenyl)acryloyloxy)-1,4,5-trihydroxycyclohexanecarboxylic acid		mdm-106
(1s,3r,4s,5r)-1,3,4,5-tetrahydroxycyclohexane-1-carboxylic acid		mdm-457
(1s,3r,4s,5r)-1,3,4,5-tetrahydroxycyclohexanecarboxylic acid		mdm-457
(2-(1h-indol-3-yl)acetyl)-l-alanine		mdm-919
(2-hydroxyethyl)trimethyl ammonium		mdm-355
(2-hydroxyethyl)trimethylammonium		mdm-355
(2-hydroxyethyl)trimethylazanium		mdm-355
(2-hydroxyphenyl) propanoate	cnic_26	
(2-indol-3-ylethyl)methylamine		mdm-947
(2-methylbiphenyl-4-yl)-methanol		mdm-574
(2e)-3-(2-methoxyphenyl)-2-propenal		mdm-309
(2e)-3-(2-methoxyphenyl)acrylaldehyde		mdm-309
(2e)-3-(2-methoxyphenyl)prop-2-enal		mdm-309
(2r)-2-(((3r,4r,5s,6r)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)tetrahydro-2h-pyran-4-yl)oxy)propanoic acid		mdm-424
(2r)-2-[(1s)-1,2-dihydroxyethyl]-3,4-dihydroxy-2h-furan-5-one		mdm-109
(2r)-2-[(1s)-1,2-dihydroxyethyl]-4,5-dihydroxy-2,3-dihydrofuran-3-one		mdm-109
(2r)-2-[(1s)-1,2-dihydroxyethyl]-4,5-dihydroxy-furan-3-one		mdm-109
(2r)-2-[(1s)-1,2-dihydroxyethyl]-4,5-dihydroxyfuran-3-one		mdm-109
(2r)-2-[(4-isopropylcyclohexanecarbonyl)amino]-3-phenyl-propanoic acid		mdm-949
(2r)-2-[(5s,3r,4r,6r)-3-(acetylamino)-2,5-dihydroxy-6-(hydroxymethyl)(2h-3,4,5 ,6-tetrahydropyran-4-yloxy)]propanoic acid		mdm-424
(2r)-2-[[oxo-(4-propan-2-ylcyclohexyl)methyl]amino]-3-phenylpropanoic acid		mdm-949
(2r)-2-formamido-4-(methylsulfanyl)butanoic acid		mdm-374
(2r)-3-phenyl-2-[(4-propan-2-ylcyclohexanecarbonyl)amino]propanoic acid		mdm-949
(2r)-3-phenyl-2-[(4-propan-2-ylcyclohexyl)carbonylamino]propanoic acid		mdm-949
(2r)-3-phenyl-2-{[(1r,4r)-4-(propan-2-yl)cyclohexyl]formamido}propanoic acid		mdm-949
(2r,3r,4s,5r)-2-amino-3,4,5,6-tetrahydroxy-hexanoic acid		mdm-841
(2r,3r,4s,5r)-2-amino-3,4,5,6-tetrahydroxyhexanoic acid		mdm-841
(2r,3r,4s,5r)-2-azanyl-3,4,5,6-tetrakis(oxidanyl)hexanoic acid		mdm-841
(2r,3r,4s,5r,6r)-2-(hydroxymethyl)-6-methoxy-oxane-3,4,5-triol		mdm-242
(2r,3r,4s,5r,6r)-2-(hydroxymethyl)-6-methoxyoxane-3,4,5-triol		mdm-242
(2r,3r,4s,5r,6r)-2-(hydroxymethyl)-6-methoxytetrahydro-2h-pyran-3,4,5-triol		mdm-242
(2r,3r,4s,5r,6r)-2-methoxy-6-methylol-tetrahydropyran-3,4,5-triol		mdm-242
(2r,3r,4s,5s,6r)-2-((2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-2-yloxy)-6-(((2s,3r,4s,5r,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2h-pyran-2-yloxy)methyl)tetrahydro-2h-pyran-3,4,5-triol		mdm-410
(2r,3r,4s,5s,6r)-2-{[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-({[(2s,3r,4s,5r,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-3,4,5-triol		mdm-410
(2r,3s)-(+)-catechin		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1(2h)-benzopyran-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1h-chromene-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol;hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-chromene-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-chromene-3,5,7-triol;hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)-chroman-3,5,7-triol hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)chroman-3,5,7-triol;hydrate		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)chromane-3,5,7-triol		mdm-746
(2r,3s)-2-(3,4-dihydroxyphenyl)chromane-3,5,7-triol--water (1/1)		mdm-746
(2r,3s)-2-[3,4-bis(oxidanyl)phenyl]-3,4-dihydro-2h-chromene-3,5,7-triol		mdm-746
(2r,3s)-2-[3,4-bis(oxidanyl)phenyl]-3,4-dihydro-2h-chromene-3,5,7-triol;hydrate		mdm-746
(2r,3s)-3,3',4',5,7-flavanpentol		mdm-746
(2r,3s)-catechin		mdm-746
(2r,3s,4r,5r)-5-(4-amino-2-oxopyrimidin-1(2h)-yl)-4-hydroxy-2-(hydroxymethyl)tetrahydrofuran-3-yl dihydrogen phosphate		mdm-314
(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)oxane-3,4,5-triol		mdm-692
(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-(4-hydroxyphenoxy)tetrahydropyran-3,4,5-triol		mdm-692
(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-(4-oxidanylphenoxy)oxane-3,4,5-triol		mdm-692
(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-(((2r,3s,4s)-3,4,5-trihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)methoxy)tetrahydro-2h-pyran-3,4,5-triol		mdm-176
(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-[[(2r,3s,4s)-3,4,5-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methoxy]oxane-3,4,5-triol		mdm-176
(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-[[(2r,3s,4s)-5-(hydroxymethyl)-3,4,5-tris(oxidanyl)oxolan-2-yl]methoxy]oxane-3,4,5-triol		mdm-176
(2r,3s,4s,5r,6s)-2-methylol-6-[[(2r,3s,4s)-3,4,5-trihydroxy-5-methylol-tetrahydrofuran-2-yl]methoxy]tetrahydropyran-3,4,5-triol		mdm-176
(2r,6r)-2,6-diaminoheptanedioic acid		mdm-405
(2r-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol		mdm-746
(2r-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2h-1-benzopyran-3,5,7-triol monohydrate		mdm-746
(2r-trans)-2-(3,4-dihydroxyphenyl)-3-4-dihydro-2h-1-benzopyran-3,5,7-triol		mdm-746
(2rs)-2-(4-hydroxyphenyl)propionic acid, >=95.0% (qnmr)		mdm-78
(2rs)-3-hydroxy-2-phenylpropanoic acid (tropic acid)		mdm-133
(2s)-2-((2s)-2-amino-3-carboxypropanoylamino)-3-phenylpropanoic acid		mdm-347
(2s)-2-[2-(1h-indol-3-yl)ethanoylamino]propanoic acid		mdm-919
(2s)-2-[[2-(1h-indol-3-yl)-1-oxoethyl]amino]propanoic acid		mdm-919
(2s)-2-[[2-(1h-indol-3-yl)acetyl]amino]propanoic acid		mdm-919
(2s)-2-amino-3-(1h-imidazol-4-yl)propanoic acid		mdm-389
(2s)-2-amino-3-(1h-imidazol-4-yl)propanoic acid hydrochloride		mdm-389
(2s)-2-amino-3-(1h-imidazol-5-yl)propanoic acid		mdm-389
(2s)-2-amino-3-(imidazol-4-yl)propanoic acid		mdm-389
(2s)-2-amino-3-methylbutanoate		mdm-29
(2s)-2-amino-3-methylbutanoic acid		mdm-29
(2s)-2-amino-3-phenylpropanoic acid		mdm-449
(2s)-2-amino-4-(3-carboxypropanoyloxy)butanoic acid		mdm-92
(2s)-2-azanyl-3-(1h-imidazol-5-yl)propanoic acid		mdm-389
(2s)-2-formamido-4-(methylsulfanyl)butanoate		mdm-374
(2s)-2-hydroxy-3-(1h-indol-3-yl)propanoic acid	cnic_29	
(2s)-3-(4-hydroxyphenyl)-2-hydroxypropionicacid	cnic_24	
(2s)-3-(4-hydroxyphenyl)-2-hydroxypropionicacid	cnic_18	
(2s,3r)-3,3',4',5,7-pentahydroxyflavane		mdm-746
(2s,3r,4s,5r)-5-amino-2,3,4-trihydroxycyclohexanone	cnic_123	
(2s,3r,4s,5r,6r)-2-(((2r,3s,4s)-4,5-dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl)oxy)-6-(hydroxymethyl)tetrahydro-2h-pyran-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-(((2r,3s,4s,5r)-4,5-dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl)oxy)-6-(hydroxymethyl)tetrahydro-2h-pyran-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-[(2r,3s,4s)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-[(2r,3s,4s,5r)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-[(2r,3s,4s,5s)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-[(2r,3s,4s,5s)-4,5-dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy-6-(hydroxymethyl)tetrahydropyran-3,4,5-triol		mdm-31
(2s,3r,4s,5r,6r)-2-[[(2r,3s,4s,5r,6r)-6-[(2s,3s,4s,5r)-2,5-bis(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]oxy-3,4,5-tris(oxidanyl)oxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-410
(2s,3r,4s,5r,6r)-2-[[(2r,3s,4s,5r,6r)-6-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-410
(2s,3r,4s,5r,6r)-2-[[(2r,3s,4s,5r,6r)-6-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-2-yl]oxy-3,4,5-trihydroxy-tetrahydropyran-2-yl]methoxy]-6-(hydroxymethyl)tetrahydropyran-3,4,5-triol		mdm-410
(2s,3r,4s,5r,6r)-2-[[(2r,3s,4s,5r,6r)-6-[(2s,3s,4s,5r)-3,4-dihydroxy-2,5-dimethylol-tetrahydrofuran-2-yl]oxy-3,4,5-trihydroxy-tetrahydropyran-2-yl]methoxy]-6-methylol-tetrahydropyran-3,4,5-triol		mdm-410
(2s,3r,4s,5r,6r)-2-{[(2r,3s,4s,5r)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-31
(2s,3r,4s,5s,6r)-2-[[(2r,3r,4s,5r,6r)-6-[(2s,3s,4r,5s)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-3,4,5-trihydroxy-oxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol		mdm-410
(2s,6r)-2,6-diaminoheptanedioic acid		mdm-405
(2z)-3-carbamoylprop-2-enoic acid		mdm-200
(2z)-4-amino-4-oxobut-2-enoic acid		mdm-200
(3-alpha,5-beta)-3-hydroxycholan-24-oic acid	cnic_66	
(3-alpha,5-beta)-3-hydroxycholan-24-oic acid	cnic_68	
(3-alpha,5-beta)-3-hydroxycholan-24-oic acid	cnic_67	
(3-alpha,5-beta)-3-hydroxycholan-24-oic acid	cnic_49	
(3-hydroxy)phenylacetic acid		mdm-285
(3-hydroxy-phenyl)-acetate		mdm-285
(3-hydroxy-phenyl)-acetic acid		mdm-285
(3-hydroxyphenyl)acetic acid		mdm-285
(3-indolyl)ethylamine		mdm-475
(3-methyl-but-2-enyl)-(7(9)h-purin-6-yl)-amine		mdm-434
(3-methylbut-2-enyl)purin-6-ylamine		mdm-434
(3a,5b)-3-hydroxy-cholan-24-oate	cnic_68	
(3a,5b)-3-hydroxy-cholan-24-oate	cnic_67	
(3a,5b)-3-hydroxy-cholan-24-oate	cnic_49	
(3a,5b)-3-hydroxy-cholan-24-oate	cnic_66	
(3a,5b)-3-hydroxy-cholan-24-oic acid	cnic_67	
(3a,5b)-3-hydroxy-cholan-24-oic acid	cnic_68	
(3a,5b)-3-hydroxy-cholan-24-oic acid	cnic_49	
(3a,5b)-3-hydroxy-cholan-24-oic acid	cnic_66	
(3a,5b,6a,7b)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_103	
(3a,5b,6a,7b)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_104	
(3a,5b,6b,7a)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_80	
(3a,5b,6b,7a)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_81	
(3a,5b,6b,7a)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_82	
(3a,5b,6b,7a)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_83	
(3a,5b,6b,7b)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_93	
(3a,5b,6b,7b)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_94	
(3a,5b,6b,7b)-3,6,7-trihydroxy-cholan-24-oic acid	cnic_95	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oate	cnic_100	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oate	cnic_99	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oate	cnic_102	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oate	cnic_101	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oic acid	cnic_102	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oic acid	cnic_99	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oic acid	cnic_101	
(3a,5b,7a)-3,7-dihydroxy-cholan-24-oic acid	cnic_100	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oate	cnic_84	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oate	cnic_86	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oate	cnic_87	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oate	cnic_85	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oic acid	cnic_86	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oic acid	cnic_85	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oic acid	cnic_84	
(3a,5b,7b)-3,7-dihydroxy-cholan-24-oic acid	cnic_87	
(3a,5b,7b)-3,7-dihydroxycholan-24-oic acid	cnic_84	
(3a,5b,7b)-3,7-dihydroxycholan-24-oic acid	cnic_85	
(3a,5b,7b)-3,7-dihydroxycholan-24-oic acid	cnic_86	
(3a,5b,7b)-3,7-dihydroxycholan-24-oic acid	cnic_87	
(3alpha,5alpha,12alpha)-3,12-dihydroxycholan-24-oic acid	cnic_75	
(3alpha,5alpha,12alpha)-3,12-dihydroxycholan-24-oic acid	cnic_76	
(3alpha,5alpha,12alpha)-3,12-dihydroxycholan-24-oic acid	cnic_74	
(3alpha,5alpha,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oate	cnic_58	
(3alpha,5alpha,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oate	cnic_59	
(3alpha,5alpha,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oic acid	cnic_60	
(3alpha,5alpha,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oic acid	cnic_59	
(3alpha,5alpha,7alpha,12alpha)-3,7,12-trihydroxycholan-24-oic acid	cnic_58	
(3alpha,5alpha,7beta,8alpha,17alpha)-3,7-dihydroxycholan-24-oic acid	cnic_100	
(3alpha,5alpha,7beta,8alpha,17alpha)-3,7-dihydroxycholan-24-oic acid	cnic_101	
(3alpha,5alpha,7beta,8alpha,17alpha)-3,7-dihydroxycholan-24-oic acid	cnic_102	
(3alpha,5alpha,7beta,8alpha,17alpha)-3,7-dihydroxycholan-24-oic acid	cnic_99	
(3alpha,5alpha,8alpha,12alpha,14beta,17alpha)-3,12-dihydroxycholan-24-oic acid	cnic_50	
(3alpha,5alpha,8alpha,14beta,17alpha)-3-hydroxycholan-24-oic acid	cnic_68	
(3alpha,5alpha,8alpha,14beta,17alpha)-3-hydroxycholan-24-oic acid	cnic_67	
(3alpha,5alpha,8alpha,14beta,17alpha)-3-hydroxycholan-24-oic acid	cnic_49	
(3alpha,5alpha,8alpha,14beta,17alpha)-3-hydroxycholan-24-oic acid	cnic_66	
(3alpha,5beta)-3-hydroxycholan-24-oic acid	cnic_68	
(3alpha,5beta)-3-hydroxycholan-24-oic acid	cnic_67	
(3alpha,5beta)-3-hydroxycholan-24-oic acid	cnic_66	
(3alpha,5beta)-3-hydroxycholan-24-oic acid	cnic_49	
(3alpha,5beta,12alpha)-3,12-dihydroxycholan-24-oic acid	cnic_50	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oate	cnic_61	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oic acid	cnic_46	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oic acid	cnic_65	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oic acid	cnic_63	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oic acid	cnic_62	
(3alpha,5beta,6alpha)-3,6-dihydroxycholan-24-oic acid	cnic_64	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oate	cnic_108	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_111	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_110	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_109	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_108	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_105	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_107	
(3alpha,5beta,6alpha,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_106	
(3alpha,5beta,6alpha,7beta)-3,6,7-trihydroxycholan-24-oic acid	cnic_103	
(3alpha,5beta,6alpha,7beta)-3,6,7-trihydroxycholan-24-oic acid	cnic_104	
(3alpha,5beta,6beta)-3,6-dihydroxycholan-24-oate	cnic_117	
(3alpha,5beta,6beta,7alpha)-3,6,7-trihydroxycholan-24-oate	cnic_80	
(3alpha,5beta,6beta,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_80	
(3alpha,5beta,6beta,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_83	
(3alpha,5beta,6beta,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_82	
(3alpha,5beta,6beta,7alpha)-3,6,7-trihydroxycholan-24-oic acid	cnic_81	
(3alpha,5beta,6beta,7beta)-3,6,7-trihydroxycholan-24-oic acid	cnic_95	
