Experimental mass	Identifier	Adduct	mz Error (ppm)	Molecular Weight	Name	Peptide	Halogenated	Plant	NaturalProduct	MDM	Drug	Food	Formula	Score 1	CAS	Kegg	HMDB	LipidMaps	Metlin	PubChem	InChIKey	SMILES	Pathways	Unnamed: 20	Unnamed: 21	_TPIDX
136.0505	12377	M+2H	10	270.0892	Isomedicarpin							Food	C16H14O4	N/A	N/A	N/A	HMDB0033305	LMPK12070030	48119.0	13803637.0	YHZDBBUEVZEOIY-UHFFFAOYSA-N	COC1=CC=C2C3OC4=CC(O)=CC=C4C3COC2=C1	N/A	N/A	N/A	124
136.0505	17511	M+2H	10	270.0892	Vignafuran				NP			Food	C16H14O4	N/A	57800-41-6	C08993	HMDB0033940	LMPK12160036	53209.0	441958.0	YCDZKMJZSGRQML-UHFFFAOYSA-N	COC1=CC2=C(C=C(O2)C2=C(OC)C=C(O)C=C2)C=C1	N/A	N/A	N/A	125
136.0505	12206	M+2H	10	270.0892	Dihydroformononetin							Food	C16H14O4	N/A	N/A	N/A	HMDB0033759	LMPK12050448	47952.0	14730796.0	INYISIYHXQDCPK-UHFFFAOYSA-N	COC1=CC=C(C=C1)C1COC2=C(C=CC(O)=C2)C1=O	N/A	N/A	N/A	126
136.0505	16342 ; 16292	M+2H	10	270.0892	Dihydroxy-methoxychalcone				NP			Food	C16H14O4	N/A	N/A	N/A	HMDB0033702	LMPK12120244 ; LMPK12120194	52048.0 ; 51998.0	5316793.0	CUGDOWNTXKLQMD-BQYQJAHWSA-N ; FUQGIYDZGLORRC-XBXARRHUSA-N	COC1=CC(O)=C(C(=O)\C=C\C2=CC=CC=C2)C(O)=C1 ; COc1ccc(cc1)/C=C/C(=O)c1cc(O)ccc1O	N/A	N/A	N/A	127 ; 142
136.0505	187890	M+2H	10	270.0892	Physcionanthrone				NP				C16H14O4	N/A	N/A	N/A	N/A	N/A	N/A	19132.0	DRQZSQDHMHEDQS-UHFFFAOYSA-N	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2)C=C(C=C3O)OC	N/A	N/A	N/A	128
136.0505	12569	M+2H	10	270.0892	Haginin				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12080063	48307.0	N/A	RMENXIMFGIVCHR-UHFFFAOYSA-N	COc1cc(O)ccc1C1COc2cc(O)ccc2C=1	N/A	N/A	N/A	129
136.0505	167713	M+2H	10	270.0892	Dalbergione,-Methoxy-Hydroxy-								C16H14O4	N/A	N/A	N/A	N/A	N/A	43919.0	N/A	N/A	N/A	N/A	N/A	N/A	130
136.0505	16195 ; 16197	M+2H	10	270.0892	Isoliquiritigenin-methyl ether				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12120097 ; LMPK12120099	51902.0 ; 51904.0	N/A	ADRQFDIWPRFKSP-RUDMXATFSA-N ; MOESXQFGHNEYAH-RUDMXATFSA-N	COc1ccc(cc1)/C=C/C(=O)c1ccc(O)cc1O ; COc1cc(O)c(cc1)C(=O)/C=C/c1ccc(O)cc1	N/A	N/A	N/A	131 ; 132
136.0505	16973	M+2H	10	270.0892	Strobopinin				NP				C16H14O4	N/A	N/A	C09939	N/A	LMPK12140187	52676.0	442520.0	INBPQAJYHSJVRY-ZDUSSCGKSA-N	Cc1c(O)c2C(=O)C[C@@H](Oc2cc1O)c1ccccc1	N/A	N/A	N/A	133
136.0505	16976	M+2H	10	270.0892	Cryptostrobin				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12140190	52679.0	N/A	QSRIZZQWNHKERT-UHFFFAOYSA-N	Cc1c2OC(CC(=O)c2c(O)cc1O)c1ccccc1	N/A	N/A	N/A	134
136.0505	17001	M+2H	10	270.0892	Alpinetin				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12140215	52704.0	N/A	QQQCWVDPMPFUGF-UHFFFAOYSA-N	COc1cc(O)cc2OC(CC(=O)c12)c1ccccc1	N/A	N/A	N/A	136
136.0505	16234	M+2H	10	270.0892	Flemichapparin				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12120136	51940.0	N/A	HHKHXCOFQIAPMB-BQYQJAHWSA-N	COc1cc(C(=O)/C=C/c2ccccc2)c(O)cc1O	N/A	N/A	N/A	137
136.0505	16528	M+2H	10	270.0892	Echinatin			Plant	NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12120431	52234.0	N/A	QJKMIJNRNRLQSS-WEVVVXLNSA-N	COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1	N/A	N/A	N/A	139
136.0505	12697	M+2H	10	270.0892	Hydroxy-methoxydalbergione								C16H14O4	N/A	N/A	N/A	N/A	LMPK12100073	48433.0	N/A	DLCVFIMWFKVRTM-LBPRGKRZSA-N	COC1=CC(=O)C(=CC1=O)[C@@H](C=C)c1ccc(O)cc1	N/A	N/A	N/A	140
136.0505	16537	M+2H	10	270.0892	Methyllucidone								C16H14O4	N/A	N/A	N/A	N/A	LMPK12120440	52243.0	N/A	FITVJPYUOAZKPN-PBMBQWDMSA-N	COC1=CC(=O)/C(=C(\C=C\c2ccccc2)/OC)/C1=O	N/A	N/A	N/A	141
136.0505	158635	M+2H	10	270.0892	Isoimperatorin				NP				C16H14O4	N/A	482-45-1	C16976	N/A	N/A	71477.0	68081.0	IGWDEVSBEKYORK-UHFFFAOYSA-N	CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12	N/A	N/A	N/A	143
136.0505	11698	M+2H	10	270.0892	Hydroxy-methylenedioxyflavan								C16H14O4	N/A	N/A	N/A	N/A	LMPK12020248	47464.0	N/A	DGOAORIWKTZFLK-ZDUSSCGKSA-N	Oc1ccc2CC[C@@H](Oc2c1)c1cc2OCOc2cc1	N/A	N/A	N/A	144
136.0505	16849 ; 16850	M+2H	10	270.0892	Methyl-liquiritigenin				NP				C16H14O4	N/A	N/A	N/A	N/A	LMPK12140062 ; LMPK12140063	52552.0 ; 52553.0	N/A	OJOSVTQXBSSCMQ-UHFFFAOYSA-N ; NHMVADLYFAEQHW-UHFFFAOYSA-N	COc1cc2OC(CC(=O)c2cc1)c1ccc(O)cc1 ; COc1ccc(cc1)C1CC(=O)c2ccc(O)cc2O1	N/A	N/A	N/A	145 ; 146
136.0505	156371	M+2H	10	270.0892	Alloimperatorin				NP				C16H14O4	N/A	642-05-7	C09053	N/A	N/A	67387.0	69502.0	KDXVVZMYSLWJMA-UHFFFAOYSA-N	CC(C)=CCc1c2ccoc2c(O)c2oc(=O)ccc12	N/A	N/A	N/A	147
136.0505	166064	M+H-H2O	1	153.0538	Nitrophenylhydrazine								C6H7N3O2	N/A	636-95-3	N/A	N/A	N/A	85168.0	N/A	N/A	N/A	N/A	N/A	N/A	150
136.0505	160961 ; 163295	M+H-H2O	1	153.0538	Diamino-nitrobenzene								C6H7N3O2	N/A	99-56-9 ; 5307-14-2	C19384 ; C19385	N/A	N/A	73087.0 ; 73088.0	5111791.0 ; 4338370.0	RAUWPNXIALNKQM-UHFFFAOYSA-N ; HVHNMNGARPCGGD-UHFFFAOYSA-N	Nc1ccc([N+](=O)[O-])cc1N ; Nc1ccc(N)c([N+](=O)[O-])c1	N/A	N/A	N/A	151 ; 152
173.1173	27142 ; 27144 ; 27145 ; 27146 ; 27160 ; 27048 ; 27049 ; 27050 ; 27051 ; 27052 ; 27147	M+H	0	172.1099	LMSD{ FA 9:1;O }				NP				C9H16O3	2.0	N/A	C16322	HMDB0094711	LMFA01060155 ; LMFA01060157 ; LMFA01060158 ; LMFA01060159 ; LMFA01060178 ; LMFA01060022 ; LMFA01060023 ; LMFA01060024 ; LMFA01060025 ; LMFA01060026 ; LMFA01060160	74789.0 ; 74791.0 ; 74792.0 ; 74793.0 ; 45861.0 ; 35717.0 ; 35718.0 ; 35719.0 ; 35720.0 ; 35721.0 ; 74794.0	75704.0	MANRVFOEUWHBMD-UHFFFAOYSA-N ; OCTWQXZMIOXBML-UHFFFAOYSA-N ; KWMWMKVIKIREFA-UHFFFAOYSA-N ; KNPGTJGXMGNBAY-UHFFFAOYSA-N ; HMJVYQBHXHOGRX-UHFFFAOYSA-N ; SHDOPXQMNJDYDK-UHFFFAOYSA-N ; PRDIIROHTWNJDB-UHFFFAOYSA-N ; IOLZRTYKQAFXFB-UHFFFAOYSA-N ; NTQPWIWDPJRIPQ-UHFFFAOYSA-N ; BMDUEIZQNLDNCI-UHFFFAOYSA-N ; WLGDDELKYAWBBL-UHFFFAOYSA-N	C(CCC(=O)CCC(C)C)(=O)O ; C(CCCCC(=O)C(C)C)(=O)O ; C(CC(=O)CCCCCC)(=O)O ; C(CCCCCCC(=O)C)(=O)O ; CC(C)CCCC(=O)CC(O)=O ; C(CCCC)CCC(=O)C(=O)O ; C(CCCC)C(=O)CCC(=O)O ; C(=O)(CCCC)CCCC(=O)O ; C(C(=O)CCC)CCCC(=O)O ; C(CC(=O)CC)CCCC(=O)O ; OC(=O)CCCCCCCC=O	Alpha Linolenic Acid and Linoleic Acid Metabolism	Biosynthesis of secondary metabolites	N/A	271 ; 272 ; 273 ; 274 ; 275 ; 276 ; 277 ; 278 ; 279 ; 280 ; 296
173.1173	26828	M+H	0	172.1099	FA 9:1(OH); LMSD{ FA 9:1;O }								C9H16O3	2.0	N/A	N/A	N/A	LMFA01050232	74606.0	N/A	WPQRIXDVEGLWLV-UPHRSURJSA-N	C(CCC/C=CCCCO)(=O)O	N/A	N/A	N/A	281
173.1173	10961 ; 10962 ; 10963 ; 10964	M+H	0	172.1099	Hydroxy-dioxaspiroundecane								C9H16O3	N/A	N/A	N/A	N/A	LMPK09000005 ; LMPK09000006 ; LMPK09000007 ; LMPK09000008	102844.0 ; 102845.0 ; 102846.0 ; 102847.0	N/A	PSXHJXYOZUWYQY-BDAKNGLRSA-N ; PSXHJXYOZUWYQY-IUCAKERBSA-N ; ITVCIGAVUFJFJY-BDAKNGLRSA-N ; ITVCIGAVUFJFJY-IUCAKERBSA-N	O[C@@H]1CO[C@@]2(CC1)CCCCO2 ; O[C@@H]1CO[C@]2(CC1)CCCCO2 ; O[C@@H]1C[C@@]2(CCCCO2)OCC1 ; O[C@@H]1C[C@]2(CCCCO2)OCC1	N/A	N/A	N/A	282 ; 283 ; 284 ; 285
173.1173	187697 ; 180887	M+H	0	172.1099	Aspinotriol								C9H16O3	N/A	960069-57-2	N/A	N/A	N/A	N/A	24763079.0 ; 24763080.0	KWETYTFGFLMCQO-VLAXTVPNNA-N ; KWETYTFGFLMCQO-KSUZBYAFSA-N	[C@H](/C=C(/C=C/[C@@H](C)O)\CO)(O)C ; CC(C=CC(=CC(C)O)CO)O	N/A	N/A	N/A	286 ; 297
173.1173	57868 ; 70280 ; 165116 ; 103728	M+H ; M+2H	0	172.1099 ; 344.2199	Pentyl-dioxan-one							Food	C9H16O3 ; C18H32O6	N/A	65504-96-3	N/A	HMDB0059936 ; HMDB0059937 ; HMDB0037146	N/A	92114.0	53435896.0 ; 71587348.0 ; 131752160.0	AYJJZBHSZOCJJX-UHFFFAOYSA-N ; XTANXEGVDAOPFW-UHFFFAOYSA-N ; XAHPFDPHEQKYLC-UHFFFAOYSA-N	CCCCCC1COC(=O)CO1 ; CCCCCC1COCC(=O)O1 ; CCCCCC1COC(=O)CO1.CCCCCC1COCC(=O)O1	N/A	N/A	N/A	287 ; 292 ; 299 ; 319
173.1173	86818	M+H	0	172.1099	Methylbutyl-oxobutanoate							Food	C9H16O3	N/A	2308-18-1	N/A	HMDB0036396	N/A	91538.0	61296.0	XHRGPLDMNNGHCX-UHFFFAOYSA-N	CC(C)CCOC(=O)CC(C)=O	N/A	N/A	N/A	288
173.1173	64822	M+H	0	172.1099	Butyl levulinate							Food	C9H16O3	N/A	2052-15-5	N/A	HMDB0040165	N/A	94702.0	16331.0	ISBWNEKJSSLXOD-UHFFFAOYSA-N	CCCCOC(=O)CCC(C)=O	N/A	N/A	N/A	289
173.1173	147784	M+H	0	172.1099	Methylpropyl-hydroxy-methylidenebutanoate				NP			Food	C9H16O3	N/A	N/A	N/A	HMDB0040203	N/A	94737.0	546207.0	YWLLUDSCDSOEDO-UHFFFAOYSA-N	CC(C)COC(=O)C(=C)C(C)O	N/A	N/A	N/A	290
173.1173	79727	M+H	0	172.1099	Butyl-hydroxy-methylidenebutanoate				NP			Food	C9H16O3	N/A	N/A	N/A	HMDB0040202	N/A	94736.0	568158.0	BGBNIHUXOLZWIB-UHFFFAOYSA-N	CCCCOC(=O)C(=C)C(C)O	N/A	N/A	N/A	291
173.1173	31142 ; 166237	M+H	0	172.1099	hydroperoxynonenal								C9H16O3	N/A	7439-43-2	N/A	HMDB0060287	LMFA06000253	75392.0 ; 44823.0	6435432.0	TVNYLRYVAZWBEH-FNORWQNLSA-N	CCCCCC(OO)\C=C\C=O	N/A	N/A	N/A	293 ; 298
173.1173	86748	M+H	0	172.1099	Tetrahydrofurfuryl butyrate								C9H16O3	N/A	92345-48-7	N/A	HMDB0036188	N/A	91337.0	551316.0	DPZVDLFOAZNCBU-UHFFFAOYSA-N	CCCC(=O)OCC1CCCO1	N/A	N/A	N/A	294
173.1173	136958	M+H	0	172.1099	Hexenyl lactate							Food	C9H16O3	N/A	61931-81-5	N/A	HMDB0036213	N/A	91361.0	5364231.0	NNLLMULULOBXBY-PLNGDYQASA-N	CC\C=C/CCOC(=O)C(C)O	N/A	N/A	N/A	295
173.1173	188698	M+H	1	172.1099	Dienetriol								C9H16O3	N/A	N/A	N/A	N/A	N/A	N/A	139586755.0	RRFNHQIEVWBAEI-LHOHZTISSA-N	C/C=C/C=C(/CO)\C(C(C)O)O	N/A	N/A	N/A	300
173.1173	171471 ; 171473 ; 171474 ; 171475 ; 171482 ; 171487	M+2H	8	344.2172	Ala Arg Val	Pep							C14H28N6O4	N/A	N/A	N/A	N/A	N/A	16710.0 ; 17446.0 ; 18201.0 ; 18492.0 ; 21478.0 ; 22549.0	N/A	N/A	N/A	N/A	N/A	N/A	301 ; 303 ; 304 ; 305 ; 312 ; 317
173.1173	171472 ; 171480 ; 171483 ; 171484 ; 171485 ; 171488	M+2H	8	344.2172	Arg Gly Leu	Pep							C14H28N6O4	N/A	N/A	N/A	N/A	N/A	17442.0 ; 20968.0 ; 21989.0 ; 22199.0 ; 22268.0 ; 22586.0	N/A	N/A	N/A	N/A	N/A	N/A	302 ; 310 ; 313 ; 314 ; 315 ; 318
173.1173	171476 ; 171477 ; 171478 ; 171479 ; 171481 ; 171486	M+2H	8	344.2172	Arg Gly Ile	Pep							C14H28N6O4	N/A	N/A	N/A	N/A	N/A	18937.0 ; 19808.0 ; 19906.0 ; 19916.0 ; 21183.0 ; 22466.0	N/A	N/A	N/A	N/A	N/A	N/A	306 ; 307 ; 308 ; 309 ; 311 ; 316
