SOURCE	TARGET	ENZYMES
C00219	C01530	3.1.2.2;6.2.1.3
C00219	C03595	3.1.2.2;6.2.1.3
C00219	CE7244	1.14.14.1
C00219	C00340	1.14.15.3
C00219	C03547	1.14.15.3
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C00116	3.1.-
C00219	CE7243	1.14.14.1
C00219	C05965	;3.1.1.4;1.14.99.1;1.14.14.1;6.2.1.3;3.1.2.2;1.11.1.9;1.13.11.31;1.14.15.3;1.13.11.33;1.13.11.34;3.1.-
C00219	CE2565	1.13.11.34;1.14.99.1
C00219	C14748	1.14.15.3
C00219	CE5705	1.14.14.1
C00219	C14749	1.14.14.1
C00219	C00756	1.14.15.3
C00219	C05966	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C00219	C14771	3.1.2.2;1.14.14.1
C00219	C05356	;1.13.11.31;1.13.11.34;1.11.1.9
C00219	CE1450	1.14.14.1
C00219	CE4922	3.1.-
C00219	C00226	1.14.15.3
C00219	C14768	1.14.14.1
C00219	C01371	1.14.15.3
C00219	C14769	1.14.14.1
C00219	C01352	;1.14.14.1
C00219	CE7234	1.14.14.1
C00219	C01387	1.14.15.3
C00219	C14779	1.14.14.1
C00219	C14778	1.14.14.1
C00219	CE5535	
C00219	C00704	
C00219	CE7231	1.14.14.1
C00219	CE7228	1.14.14.1
C00219	CE5928	
C00219	C00016	;1.14.14.1
C00219	C00435	1.14.15.3
C00219	CE5537	
C00219	C05956	1.14.99.1
C00219	CE5925	
C00712	C00249	;3.1.2.14;3.1.2.2
C00712	C06429	3.1.2.2
C00712	C01530	3.1.2.14;3.1.2.2
C16165	C00249	3.1.2.2
C16165	C06429	3.1.2.2
C16165	C01530	3.1.2.2
C16169	C00249	3.1.2.2
C16169	C06429	2.3.1.16;3.1.2.2
C16169	C01530	3.1.2.2
C00510	C00249	;3.1.2.2
C00510	C06429	3.1.2.2
C00510	C01530	3.1.2.2
C03242	C00249	3.1.2.2;6.2.1.3
C03242	C06429	3.1.2.2
C03242	C01530	3.1.2.2;6.2.1.3
C00020	C00249	;3.1.2.2;6.2.1.3
C00020	C01530	3.1.2.2;6.2.1.3
C00249	C03035	;3.1.2.2;2.3.1.86;6.2.1.3
C00249	C06428	3.1.2.2
C00249	C00229	3.1.2.14;2.3.1.85;2.3.1.86;2.3.1.39;2.3.1.41
C00249	C06429	3.1.2.2
C00249	C02041	3.1.2.2
C00249	C06426	3.1.2.2;6.2.1.3
C00249	C06427	3.1.2.2;6.2.1.3
C00249	C02050	;3.1.2.14;3.1.2.2;6.2.1.3
C00249	C00154	;3.1.2.2;2.3.1.86;3.1.2.22;6.2.1.3
C00249	C06425	3.1.2.2;6.2.1.3
C00249	C00412	;3.1.2.2;2.3.1.86;6.2.1.3
C00249	C16162	3.1.2.2
C00249	C00010	;3.1.2.22;6.2.1.3;2.3.1.41;2.3.1.86;2.3.1.85;3.1.2.2;4.1.1.9;2.3.1.39;6.4.1.2;1.2.1.18
C00249	C02249	3.1.2.2;6.2.1.3
C00249	C01530	3.1.2.14;3.1.2.2;6.2.1.3
C00249	C03595	3.1.2.2;6.2.1.3
C00249	C00346	;4.1.2.27
C00249	C06124	;4.1.2.27
C00249	C06412	3.1.2.22
C00249	C00017	3.1.2.22
C00249	C05764	3.1.2.14;2.3.1.86;2.3.1.85
C00249	C00024	;3.1.2.22;6.2.1.3;2.3.1.41;2.3.1.86;2.3.1.85;3.1.2.2;4.1.1.9;2.3.1.39;6.4.1.2;1.2.1.18
C00249	C00083	;3.1.2.22;6.2.1.3;4.1.2.27;2.3.1.41;2.3.1.86;2.3.1.85;3.1.2.2;4.1.1.9;2.3.1.39;6.4.1.2;3.1.2.14;1.2.1.18
C03035	C06429	2.3.1.16;3.1.2.2
C03035	C01530	3.1.2.2;6.2.1.3
C06428	C06429	3.1.2.2
C06428	C01530	3.1.2.2
C00229	C01530	3.1.2.14
C06429	C02041	3.1.2.2
C06429	C06426	3.1.2.2
C06429	C06427	3.1.2.2
C06429	C02050	3.1.2.2
C06429	C00154	2.3.1.16;3.1.2.2
C06429	C06425	3.1.2.2
C06429	C00412	3.1.2.2
C06429	C16162	3.1.2.2
C06429	C00010	2.3.1.16;3.1.2.2
C06429	C02249	3.1.2.2
C06429	C01530	3.1.2.2
C06429	C03595	3.1.2.2
C02041	C01530	3.1.2.2
C06426	C01530	3.1.2.2;6.2.1.3
C06427	C01530	3.1.2.2;6.2.1.3
C02050	C01530	3.1.2.14;3.1.2.2;6.2.1.3
C00154	C01530	3.1.2.2;6.2.1.3
C06425	C01530	3.1.2.2;6.2.1.3
C00412	C01530	3.1.2.2;6.2.1.3
C16162	C01530	3.1.2.2
C00010	C01530	3.1.2.2;6.2.1.3
C02249	C01530	3.1.2.2;6.2.1.3
C01530	C03595	3.1.2.2;6.2.1.3
C01530	C04088	3.1.2.14
C01530	ocdcaACP	3.1.2.14
