PG(14:0/0:0)[U]
PG(14:0/0:0)
Lucidenolactone
Lucidenic acid F
Brevione L
methyl 9-butylperoxy-10,12-octadecadienoate
methyl 13-butylperoxy-9,11-octadecadienoate
eicosan-11Z-en-1-ol
11Z-eicosen-1-ol
11Z-eicosen-1-ol
6,14-Dimethyloctadecan-2-one
Eicosanal
15Z-Eicosen-1-ol
Phytanal
Phytol
Thromboxane
11E-Eicosen-1-ol
3,4-Dimethyl-5-propyl-2-furanpentadecanoic acid
3,4-Dimethyl-5-pentyl-2-furantridecanoic acid
C-9,11,21-Trisnor-17-methyl-1alpha,25-dihydroxyvitamin D3
5beta-Cholane-3alpha,6alpha,24-triol
5beta-Cholane-3alpha,7alpha,12alpha-triol
5beta-Cholane-3alpha,7alpha,24-triol
5beta-Cholane-3alpha,7beta,24-triol
5beta-Cholane-3alpha,12alpha,24-triol
5beta-Cholane-3a,6a,24-triol
5beta-Cholane-3a,7a,12a-triol
5beta-Cholane-3a,7a,24-triol
5beta-Cholane-3a,7beta,24-triol
5beta-Cholane-3a,12a,24-triol
N,N,N-trimethyl-sphingosine
3-heptadecylphenol
Wuhanic acid
6Z-Heneicosen-11-ol
Heneicosan-2-one
cis-(7R,8S)-Epoxy-2-methyleicosane
cis-(7S,8R)-Epoxy-2-methyleicosane
24-Nor-5beta-cholane-3a,7a,12a,22,23-pentol
13,14-dihydro-15-keto PGF2a isopropyl ester
24-Nor-5beta-cholane-3alpha,7alpha,12alpha,22,23-pentol
PGF2alpha isopropyl ester
10-F2-dihomo-IsoP
ethyl 5R,6R-epoxy-7-eicosynoate
ethyl 5S,6R-epoxy-7-eicosynoate
2-(5-hexadecylfuran-2-yl)-acetic acid
Furanoid acid - F6
3,4-Dimethyl-5-propyl-2-furantridecanoic acid
3R-hydroxy-eicosanoic acid
20-hydroxy-eicosanoic acid
3R-hydroxy-eicosanoic acid
(2S)-2-hydroxyphytanic acid
3-hydroxy-eicosanoic acid
12-hydroxyicosanoic acid
15-hydroxyicosanoic acid
Polyoxyethylene 40 monostearate
2-hydroxy-eicosanoic acid
2-hydroxyphytanic acid
11-methoxy-nonadecanoic acid
5alpha-Cholestan-5alpha,6beta-diol
5beta-Cholestane-3a,12a-diol
5beta-Cholestane-3a,26-diol
Amphimic acid C
Lepidiumterpenoid
5beta-Cholestane-3alpha,7alpha-diol
C27:3
5-n-heneicosylresorcinol
15beta-hydroxycholestane
6alpha-hydroxycholestanol
27:3(5Z,9Z,20Z)
(E,E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl dodecanoate
15alpha-hydroxycholestane
5alpha-hydroxycholesterol
5beta-Cholestane-3alpha,12alpha-diol
5beta-Cholestane-3alpha,26-diol
24:3(5Z,9Z,17Z)(15Me,19Me,23Me)
(5Z,9Z)-2-methoxy-hexacosadienoic acid
1-Tetracosene
7Z-Tetracosene
9Z-Tetracosene
1-Cyclohexyloctadecane
7alpha,24-dihydroxy-5beta-cholestan-3-one
4beta,7alpha-dihydroxycholesterol
(25R)-4beta,26-dihydroxycholesterol
4beta,24S-dihydroxycholesterol
7alpha,26-dihydroxy-5beta-cholestan-3-one
7alpha,24S-dihydroxycholesterol
(24R)-Cholest-5-ene-3-beta,7-alpha,24-triol
20a,22b-Dihydroxycholesterol
7a,12a-Dihydroxy-5b-cholestan-3-one
3a,7a-Dihydroxy-5b-cholestan-26-al
7-a,25-Dihydroxycholesterol
7a,12a-Dihydroxy-5a-cholestan-3-one
7alpha,27-dihydroxycholesterol
17a,20a-Dihydroxycholesterol
cholest-5-en-3beta,7alpha,12alpha-triol
7alpha,25-dihydroxycholesterol
7alpha,24-dihydroxycholesterol
(24R)-7alpha,24-dihydroxycholesterol
(20R)-17alpha,20-dihydroxycholesterol
7beta,27-dihydroxycholesterol
16alpha,27-dihydroxycholesterol
1alpha,25-dihydroxy-2alpha-methyl-19-norvitamin D3
1alpha,25-dihydroxy-2beta-methyl-19-norvitamin D3
1alpha,25-dihydroxy-2alpha-methyl-19-nor-20-epivitamin D3
1alpha,25-dihydroxy-2beta-methyl-19-nor-20-epivitamin D3
Cholesterol-5beta-hydroperoxide
1-methyl-1,25-dihydroxy-4-nor-2,3-secovitamin D3
Dormatinol
1,25-Dihydroxycholesterol
Secosterol-B
cholestan-6-oxo-3,5-diol
Secosterol-A
24S,25-dihydroxycholesterol
24S,27-dihydroxycholesterol
25,27-dihydroxycholesterol
6,24S-dihydroxycholesterol
24R-Cholest-5-en-3beta,7-alpha,24-triol
(20R,22R)-20,22-dihydroxycholesterol
5beta-Cholest-25-ene-3alpha,7alpha,12alpha-triol
3beta-Hydroxy-5beta-cholestan-26-oic acid
3alpha-Hydroxy-5beta-cholestan-26-oic acid
5alpha-Cholest-25-ene-3alpha,7alpha,12alpha-triol
7alpha,25-Dihydroxy-5beta-cholestan-3-one
Cholesterol-5alpha-hydroperoxide
Cholesterol-6alpha-hydroperoxide
Cholesterol-6beta-hydroperoxide
7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
7alpha,12alpha-Dihydroxy-5alpha-Cholestan-3-one
3alpha,12alpha-Dihydroxy-5beta-cholestan-7-one
Cholest-4-ene-3alpha,7alpha,12alpha-triol
16beta,20S-dihydroxycholestan-3-one
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al
7a,12a-Dihydroxy-5a-cholestan-3-one
(20R)-17alpha,20-dihydroxycholesterol
cholest-5-en-3beta,7a,12a-triol
5beta-Cholest-25-ene-3a,7a,12a-triol
3beta-Hydroxy-5beta-cholestan-26-oic acid
3a-Hydroxy-5beta-cholestan-26-oic acid
5a-Cholest-25-ene-3a,7a,12a-triol
7a,25-Dihydroxy-5beta-cholestan-3-one
3a,12a-Dihydroxy-5beta-cholestan-7-one
Cholest-4-ene-3a,7a,12a-triol
17alpha,20alpha-Dihydroxycholesterol
Pithecolobine
B-Norcholesterol
A-Nor-5alpha-cholestan-2-one
24-norcholesterol
5beta-Cholestane-3alpha,7alpha,24,26-tetrol
5a-Cholestane-3a,7a,12a,25-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,23-tetrol
Cholestane-3,7,12,25-tetrol
27-Deoxy-5alpha-cyprinol
5b-Cholestane-3a,7a,12a,25-tetrol
5b-Cholestane-3a,7a,12a,23-Tetrol
5-b-Cholestane-3a-7-tetraol
5a-Cholestane-3a,7a,16a,26-tetrol
5a-Cholestane-3a,7a,12a,26-tetrol
5a-Cholestane-3beta,7a,16a,26-tetrol
5a-Cholestane-3a,7a,12a,24-tetrol
5beta-Cholestane-3a,7a,24,26-tetrol
5beta-Cholestane-3a,7a,25,26-tetrol
5beta-Cholestane-3a,7a,26,27-tetrol
5beta-Cholestane-3a,6beta,7a,26-tetrol
5a-Cholestane-3a,7a,12a,25-tetrol
5beta-Cholestane-3a,7a,12a,23-tetrol
5beta-Cholestane-3a,7a,12a,24-tetrol
5a-Cholestane-3a,7a,26,27-tetrol
5beta-Cholestane-3a,7a,12a,22-tetrol
5beta-Cholestane-3a,7beta,12a,25-tetrol
5beta-Cholestane-3beta,7a,12a,25-tetrol
5beta-Cholestane-3a,7a,24,25-tetrol
5alpha-Cholestane-3alpha,7alpha,16alpha,26-tetrol
5alpha-Cholestane-3alpha,7alpha,12alpha,26-tetrol
Myxinol
5alpha-Cholestane-3alpha,7alpha,12alpha,24-tetrol
5beta-Cholestane-3alpha,7alpha,25,26-tetrol
5beta-Cholestane-3alpha,7alpha,26,27-tetrol
5beta-Cholestane-3alpha,6beta,7alpha,26-tetrol
5alpha-Cholestane-3alpha,7alpha,12alpha,25-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,24-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,25-tetrol
5alpha-Cholestane-3alpha,7alpha,26,27-tetrol
5beta-Cholestane-3alpha,7alpha,12alpha,22-tetrol
5beta-Cholestane-3alpha,7beta,12alpha,25-tetrol
5beta-Cholestane-3beta,7alpha,12alpha,25-tetrol
5beta-Cholestane-3alpha,7alpha,24,25-tetrol
(25S)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
(25R)-5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
15-tetracosenal
17-tetracosenal
13'-Hydroxy-gamma-tocotrienol
(3beta,5alpha,6alpha,7alpha,22E,24R)-5,6-Epoxyergosta-8,14,22-triene-3,7-diol
Stoloniferone A
Stoloniferone B
(25S)-3-oxo-cholest-1,4-dien-26-oic acid
Stoloniferone O
Stoloniferone P
(22E,24E)-1alpha,25-dihydroxy-22,23,24,24a-tetradehydro-24a-homovitamin D3
25-hydroxy-1alpha-hydroxymethyl-23,23,24,24-tetradehydrovitamin D3
25-hydroxy-1beta-hydroxymethyl-23,23,24,24-tetradehydro-3-epivitamin D3
MG(0:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0)
5,6:8,9-Diepoxyergost-22-ene-3,7beta-diol
(3beta,5alpha,6alpha,7beta,14alpha,22E,24R)-5,6-Epoxyergosta-8,22-diene-3,7,14-triol
5,9-Epidioxy-3-hydroxyergost-7-en-6-one
(24R)-1alpha,24,25-trihydroxyvitamin D2
(3beta,5alpha,6beta,9alpha,22E,24R)-5,9-Epidioxyergosta-7,22-diene-3,6-diol
Stoloniferone H
Stoloniferone I
Stoloniferone L
9(11)-dehydroxyhecogenin
(25S)-1alpha,25,26-trihydroxyvitamin D2
1alpha,25,28-trihydroxyvitamin D2
Mer-NF8054A
Asperterpenol A
Sesterfisherol
Ophiobolin F
3,7,11,15,19-Pentamethyleicosa-2E,6E,10E,14E,18-pentaen-1-ol
Australigenin
MG(24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0/0:0)
25-Hydroxyvitamin D3-26,23-lactol
7alpha-Hydroxy-3-oxo-4-cholestenoate
Schidigeragenin C
Barogenin
24-Oxo-1alpha,25-dihydroxyvitamin D3
2,22-Dideoxy-3-dehydroecdysone
3,7-Dioxo-5a-cholestan-26-oic acid
MG(0:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z)/0:0)
Convallamarogenin
12beta,16beta,20R-trihydroxy-cholest-1,4-dien-3-one
Cryptogenin
Yuccagenin
Hecogenin
Solagenin
Sisalagenin
(25R)-3beta-hydroxy-7-oxo-5-cholestenoic acid
Ruscogenin
Pennogenin
Prazerigenin A
Epiruscogenin
Convallamarogenin
3beta-Hydroxy-5alpha,6alpha-epoxy-9-oxo-9,10-seco-5-cholest-7-en-11-al
Nuatigenin
1,25-Dihydroxy-23-oxo-vitamin D3
(24R,25R)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3
(24R,25S)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3
(24S,25R)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3
(24S,25S)-25,26-epoxy-1alpha,24-dihydroxyvitamin D3
1alpha,25-dihydroxy-18-oxovitamin D3
1alpha,25-dihydroxy-24-oxovitamin D3
(23S)-23,25-dihydroxy-24-oxovitamin D3
(23S,25R)-25-hydroxyvitamin D3 26,23-lactol
(22E)-(24R)-1alpha,24,25-trihydroxy-22,23-didehydrovitamin D3
(22E)-(24S)-1alpha,24,25-trihydroxy-22,23-didehydrovitamin D3
(22E)-(25R)-1alpha,25,26-trihydroxy-22,23-didehydrovitamin D3
(22E)-(25S)-1alpha,25,26-trihydroxy-22,23-didehydrovitamin D3
5alpha,9alpha-epidioxy-8,14alpha-epoxy-cholest-6-en-3beta-ol
3beta,5alpha,9alpha-trihydroxycholesta-7,14-dien-6-one
3,7-Dioxo-5alpha-cholestan-26-oic acid
7alpha-hydroxy-3-oxocholest-4-en-27-oic acid
Ophiobolin Z
21-epi-ophiobolin Z
21-epi-ophiobolin O
Ophiobolin O
26:6(8Z,11Z,14Z,17Z,20Z,23Z)
C26:6
L-759,633
Porrigenin A
Asperagenin
Porrigenin A
Digitogenin
3alpha,7alpha,12alpha-trihydroxy-5alpha-23E-cholesten-26-oic acid
Agigenin
3alpha,7alpha,12alpha-Trihydroxy-5beta-24Z-cholesten-26-oic acid
Paniculogenin
(24R)-6,19-epidioxy-1alpha,24-dihydroxy-6,19-dihydrovitamin D3
Neoagigenin
(6R)-6,19-epidioxy-1alpha,25-dihydroxy-6,19-dihydrovitamin D3
(23S,25R)-1alpha,23,25,26-tetrahydroxyvitamin D3
Tokorogenin
Epimetagenin
Metagenin
Convallagenin  A
Neotokorogenin
Hispigenin
Solaspigenin
Neosolaspigenin
2-deoxyecdysone
25-deoxyecdysone
1alpha,23R,25S,26-Tetrahydroxyvitamin D3
7beta,12alpha-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7alpha,12alpha-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7alpha,12alpha-Dihydroxy-3-oxo-5alpha-cholestan-26-oic acid
3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-24E-cholesten-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-23-en-26-oic acid
3alpha,7alpha-Dihydroxy-12-oxo-5alpha-cholestan-26-oic acid
7beta,12a-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7a,12a-Dihydroxy-3-oxo-5beta-cholestan-26-oic acid
7a,12a-Dihydroxy-3-oxo-5a-cholestan-26-oic acid
3a,12a-Dihydroxy-7-oxo-5beta-cholestan-26-oic acid
3a,7a,12a-Trihydroxy-5beta-cholest-24-en-26-oic acid
3a,7a,12a-Trihydroxy-5beta-cholest-23-en-26-oic acid
3a,7a,12a-Trihydroxy-5a-cholest-23-en-26-oic acid
3a,7a-Dihydroxy-12-oxo-5a-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholest-23-en-26-oic acid
11Z,14Z,17Z-Eicosatrienyl isobutyrate
24:3(15Z,18Z,21Z)
(E,E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl nonanoate
5beta-Cholane-3alpha,24-diol
Triton X 100
C24:3
12Z,15Z,18Z-Tetracosatrienoic acid
5beta-Cholane-3a,24-diol
7alpha,12alpha,24-trihydroxycholest-4-en-3-one
(23S)-1alpha,23,25-trihydroxyvitamin D3
3beta,7alpha-Dihydroxy-5-cholestenoate
3alpha,7beta-Dihydroxy-5beta-cholest-24-en-26-oic acid
7alpha,12alpha,26-trihydroxycholest-4-en-3-one
Rockogenin
Neochlorogenin
calcitetrol
23S,25,26-Trihydroxyvitamin D3
Neogitogenin
3beta,5beta-Ketotriol
3a,7a-Dihydroxy-5beta-cholest-24-en-26-oic acid
3a,7a-Dihydroxy-5beta-cholest-23-en-26-oic acid
7a,12a,25-Trihydroxycholest-4-en-3-one
3-Oxo-7a-hydroxy-5a-cholestan-26-oic acid
3a,7beta-Dihydroxy-5beta-cholest-24-en-26-oic acid
3a,12a-Dihydroxy-5beta-cholest-24-en-26-oic acid
(6R)-6,19-epidioxy-1alpha-hydroxy-6,19-dihydrovitamin D3
(6S)-6,19-epidioxy-1alpha-hydroxy-6,19-dihydrovitamin D3
(25R)-5beta-spirostan-1beta,3alpha-diol
(6R)-6,19-epidioxy-25-hydroxy-6,19-dihydrovitamin D3
(6S)-6,19-epidioxy-25-hydroxy-6,19-dihydrovitamin D3
1alpha,25-dihydroxy-24a-homo-22-oxavitamin D3
1alpha,25-dihydroxy-24a-homo-22-oxa-20-epivitamin D3
1alpha,25-dihydroxy-10,19-methano-23-oxavitamin D3
1alpha,2,25-trihydroxyvitamin D3
1alpha,11alpha,25-trihydroxyvitamin D3
1alpha,11beta,25-trihydroxyvitamin D3
Gitogenin
1alpha,18,25-trihydroxyvitamin D3
(20S)-1alpha,20,25-trihydroxyvitamin D3
(22R)-1alpha,22,25-trihydroxy-20-epivitamin D3
(24S)-1alpha,24,25-trihydroxyvitamin D3
(5E)-(25R)-1alpha,25,26-trihydroxyvitamin D3
Digalogenin
(25S)-1alpha,25,26-trihydroxyvitamin D3
Rockogenin
22,24,25-trihydroxyvitamin D3
beta-Chlorogenin
(23S)-23,24,25-trihydroxyvitamin D3
(23S,25R)-23,25,26-trihydroxyvitamin D3
Neochlorogenin
24,25,26-trihydroxyvitamin D3
Yonogenin
Nogiragenin
Isorhodeasapogenin
Rhodeasapagenin
(23R)-1alpha,23,25-trihydroxyvitamin D3
3alpha,7alpha-Dihydroxy-5beta-cholest-24-en-26-oic acid
3alpha,7alpha-Dihydroxy-5beta-cholest-23-en-26-oic acid
5alpha,9alpha-epidioxy-cholest-7-en-3beta,6alpha-diol
5alpha,9alpha-epidioxy-cholest-7-en-3beta,6beta-diol
3beta,5alpha,9alpha-trihydroxycholest-7-en-6-one
7alpha,12alpha,25-Trihydroxycholest-4-en-3-one
3-Oxo-7alpha-hydroxy-5alpha-cholestan-26-oic acid
3alpha,12alpha-Dihydroxy-5beta-cholest-24-en-26-oic acid
3beta,7alpha-dihydroxycholest-5-en-27-oic acid
9alpha,11alpha-epoxycholest-7-en-3beta,5alpha,6beta-triol
Thornasterol A
NH125
25-hydroxy-3-deoxy-2-oxavitamin D3
Shibic acid
26:5(8Z,11Z,14Z,17Z,20Z)
1-Phenyl-1,3-eicosanedione
C26:5
3-beta-enanthoxyandrost-1-en-17-one
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
3Alpha,7Alpha,12Alpha-trihydroxy-5Beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,25-Tetrahydroxy-5beta-cholestane-24-one
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al
(25R)-3alpha,7alpha,12alpha-trihydroxy-5alpha-cholestan-26-oic acid
(25S)-3alpha,7alpha,12alpha-trihydroxy-5alpha-cholestan-26-oic acid
(25R)-3alpha,7alpha,24-trihydroxy-5alpha-cholestan-26-oic acid
3alpha,7alpha,24-trihydroxy-5alpha-cholestan-26-oic acid
(25R)-1beta,3alpha,7alpha-trihydroxy-5beta-cholestan-26-oic acid
3alpha,7beta,12alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,12alpha,22S-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,12alpha,24R-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,15alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,16alpha-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7alpha,12alpha-Trihydroxy-5alpha-cholestan-26-oic acid
3alpha,12alpha,22-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-oic acid
3beta,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholestan-26-oic acid
5-Cholestene-3beta,7alpha,12alpha,24,25-pentol
5-Cholestene-3beta,7alpha,12alpha,25,26-pentol
(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid
3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al
