SOURCE	TARGET	ENZYMES
C00219	C00162	3.1.1.4;1.14.14.1;1.14.15.3
C00219	C04517	;3.1.1.4
C00219	C14749	1.14.14.1
C00219	C00756	1.14.15.3
C00219	C05966	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C00219	C04438	3.1.1.4
C00219	C02041	3.1.2.2
C00219	C00157	;3.1.1.4
C00219	C04230	3.1.1.4
C00219	C14771	3.1.2.2;1.14.14.1
C00219	C00020	;3.1.2.2;6.2.1.3
C00219	C05356	;1.13.11.31;1.13.11.34;1.11.1.9
C00219	C00350	;3.1.1.4
C00219	C05212	3.1.1.4
C00219	C01530	3.1.2.2;6.2.1.3
C00219	CE1450	1.14.14.1
C00219	CE4922	3.1.-
C00219	C01595	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C00219	C00226	1.14.15.3
C00219	C00412	;3.1.2.2;6.2.1.3
C00219	C16169	3.1.2.2
C00219	C14768	1.14.14.1
C00219	C01371	1.14.15.3
C00219	C00510	;3.1.2.2
C00219	C14769	1.14.14.1
C00219	C01352	;1.14.14.1
C00219	CE7234	1.14.14.1
C00219	C04317	;3.1.1.4
C00219	C06426	3.1.2.2;6.2.1.3
C00219	C01387	1.14.15.3
C00219	C16165	3.1.2.2
C00219	C06428	3.1.2.2
C00219	C00712	;3.1.2.2
C00219	C14779	1.14.14.1
C00219	C16162	3.1.2.2
C00219	C06429	3.1.2.2
C00219	C14778	1.14.14.1
C00219	CE5535	
C00219	C03035	;3.1.2.2;6.2.1.3
C00219	C00704	
C00219	CE7231	1.14.14.1
C00219	C00249	;3.1.2.2;6.2.1.3
C00219	C00958	;3.1.1.4
C00219	CE7228	1.14.14.1
C00219	CE5928	
C00219	C00016	;1.14.14.1
C00219	C02249	3.1.2.2;6.2.1.3
C00219	C00435	1.14.15.3
C00219	C03242	3.1.2.2;6.2.1.3
C00219	C00030	;1.13.11.31;1.13.11.33;1.14.99.1
C00219	CE5537	
C00219	C03595	3.1.2.2;6.2.1.3
C00219	C05956	1.14.99.1
C00219	CE5925	
C00319	C00060	;3.5.1.23
C00319	C00162	3.5.1.23
C00319	C00124	;3.2.1.46
C00319	Rtotal	3.5.1.23
C00319	C01120	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C06124	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C00416	;3.1.3.4
C00319	C03201	3.1.3.4
C00319	C05977	3.1.3.4
C00319	C12126	2.3.1.24;3.5.1.23
C00319	crm_hs	2.7.1.138;2.4.1.80;3.2.1.46;3.5.1.23;3.2.1.45
C00319	C00040	;2.3.1.24
C00319	C03640	2.3.1.24
C00319	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C00641	3.1.3.4
C00319	C01747	3.2.1.46
C00319	C00195	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C00588	;3.1.4.12
C00319	C00550	2.7.8.27;3.1.4.12;2.3.1.24
C00319	C02960	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C02934	C00154	2.3.1.50
C02934	C00836	1.1.1.102
C02934	C00065	2.3.1.50
clpndcrn	clpndcoa	6.2.1.3;2.3.1.86;1.3.99.3;2.3.1.21
tmndnccrn	tmndnccoa	6.2.1.3;2.3.1.86;1.3.99.3;2.3.1.21
dcsptn1crn	dcsptn1coa	6.2.1.3;1.3.99.3;2.3.1.21
C00028	C13856	1.13.11.-;1.14.99.1
C00028	C11695	1.13.11.-;1.13.11.33;1.14.99.1;1.13.11.31
CE5705	C11695	1.13.11.-
C00162	C12144	3.5.1.23
C00030	C13856	1.13.11.-;1.14.99.1
C00030	C11695	1.13.11.-;1.13.11.33;1.14.99.1;1.13.11.31
C13856	CE5707	3.1.3.4;1.13.11.-;1.14.99.1
C13856	CE5700	1.14.99.1
C13856	CE3481	3.1.3.4
C11695	CE5703	1.13.11.31
C11695	C00189	1.13.11.-
C11695	CE5704	1.13.11.33
C11695	CE4878	1.14.99.1
C12144	C12145	3.5.1.23
